"YEAR","CASEID","SERIAL","STRATA","PERNUM","LINENO","WT06","AGE","SEX","RACE","AGE_CPS8","BMI","EDUC","OCC2_CPS8","IND2_CPS8","EARNWEEK","ACT_CAREHH","ACT_CARENHH","ACT_EDUC","ACT_FOOD","ACT_GOVSERV","ACT_HHACT","ACT_HHSERV","ACT_PCARE","ACT_PHONE","ACT_PROFSERV","ACT_PURCH","ACT_RELIG","ACT_SOCIAL","ACT_SPORTS","ACT_TRAVEL","ACT_VOL","ACT_WORK"
2010,20100101100019,1,4200,1,1,1482765.945679000,30,2,110,30,,30,150,231,824.0,0,0,0,50,0,0,0,405,0,0,0,5,0,0,70,0,910
2010,20100101100020,2,1200,1,1,2771433.951421000,27,2,100,27,,21,110,220,582.92,0,0,0,92,0,205,0,775,15,35,45,0,150,0,123,0,0
2010,20100101100045,3,1700,1,1,17093086.67421300,20,1,100,44,,16,170,120,600.0,58,180,0,40,0,60,0,695,0,0,5,0,362,0,40,0,0
2010,20100101100050,4,1500,1,1,7976843.219426000,69,2,230,69,,30,9999,9999,99999.99,0,0,0,80,0,250,0,810,0,0,0,0,270,30,0,0,0
2010,20100101100053,5,1800,1,1,3661488.444096000,31,2,100,30,,31,190,130,99999.99,0,0,0,80,0,20,0,590,0,0,10,0,638,0,102,0,0
2010,20100101100087,6,5400,1,1,27284460.63720200,63,2,100,63,,30,9999,9999,99999.99,0,0,0,110,0,15,0,570,0,0,0,15,250,60,17,0,0
2010,20100101100095,7,106,1,1,2347129.662351000,57,1,110,56,,21,9999,9999,99999.99,0,0,0,40,0,0,0,450,0,0,0,60,880,0,10,0,0
2010,20100101100098,8,506,1,1,5741856.631518000,49,2,110,49,,16,9999,9999,99999.99,0,0,0,10,0,25,0,953,0,0,0,0,442,10,0,0,0
2010,20100101100117,9,1704,1,1,21962839.55578000,51,2,110,51,,32,123,252,99999.99,0,0,0,0,0,1,0,797,0,69,21,85,209,0,118,60,0
2010,20100101100119,10,3200,1,1,4989271.390150000,27,2,110,26,,16,9999,9999,99999.99,0,0,0,10,0,0,0,974,0,0,0,0,456,0,0,0,0
2010,20100101100174,11,1303,1,1,1514481.143210000,44,2,110,44,,15,140,160,99999.99,0,385,0,15,0,30,0,870,0,0,0,0,75,0,65,0,0
2010,20100101100175,12,5100,1,1,4888074.508446000,17,1,100,17,,14,9999,9999,99999.99,30,0,0,30,0,60,0,720,0,0,0,0,600,0,0,0,0
2010,20100101100501,13,2400,1,1,1694932.920867000,58,2,110,58,,40,150,210,865.38,0,315,0,120,0,105,0,785,0,0,10,0,60,0,45,0,0
2010,20100101100517,14,2900,1,1,1795434.874156000,58,2,100,58,,32,150,220,503.6,0,10,165,50,0,90,0,720,0,0,10,0,305,0,90,0,0
2010,20100101100518,15,5400,1,1,17203609.04048300,24,1,100,23,,21,190,145,720.0,0,0,0,20,0,32,0,510,0,0,10,0,323,240,75,0,230
2010,20100101100520,16,2100,1,1,4698006.589343000,55,2,100,55,,41,111,201,1538.46,0,0,0,180,0,40,0,630,0,0,30,0,400,60,100,0,0
2010,20100101100534,17,3400,1,1,3475426.498382000,30,2,100,30,,21,9999,9999,99999.99,0,0,0,30,0,60,0,780,0,0,0,0,570,0,0,0,0
2010,20100101100538,18,2100,1,1,3172997.292737000,63,2,100,62,,30,150,240,538.46,0,0,0,62,0,170,0,465,66,70,0,0,147,30,46,0,384
2010,20100101100543,19,900,1,1,885936.5966570000,37,2,100,36,,41,200,120,128.5,139,0,0,160,0,60,0,651,0,0,0,0,245,125,60,0,0
2010,20100101100554,20,4802,1,1,13994636.27655300,67,1,100,67,,30,110,100,99999.99,0,0,0,110,0,0,0,720,0,0,0,0,460,0,0,0,150
2010,20100101100557,21,3400,1,1,2424316.105030000,33,1,100,33,,40,110,170,1200.0,180,0,0,135,0,28,0,545,0,0,75,75,289,45,67,0,1
2010,20100101100571,22,1801,1,1,5731497.396118000,57,1,100,57,,21,170,120,1346.15,0,0,0,45,0,0,0,630,0,0,60,0,625,0,80,0,0
2010,20100101100603,23,4500,1,1,1290962.404798000,48,2,100,47,,30,190,135,1463.8,30,0,0,80,0,200,0,555,0,0,65,122,330,0,58,0,0
2010,20100101100605,24,5100,1,1,3924736.907828000,65,1,100,65,,21,9999,9999,99999.99,0,0,0,60,0,0,0,765,0,0,0,0,615,0,0,0,0
2010,20100101100613,25,3600,1,1,1921381.524517000,80,2,131,80,,12,9999,9999,99999.99,0,0,0,40,0,60,0,540,0,0,30,0,590,0,60,0,0
2010,20100101100638,26,2400,1,1,3565862.607104000,48,1,110,48,,30,110,220,2019.23,0,0,0,60,0,20,0,500,0,0,0,0,40,45,70,30,675
2010,20100101100641,27,4900,1,1,3639082.372884000,72,2,100,71,,15,9999,9999,99999.99,0,0,0,95,0,575,0,480,0,0,60,0,200,0,30,0,0
2010,20100101100651,28,4604,1,1,5497189.036952000,54,2,100,54,,40,125,240,400.0,0,0,0,40,0,68,0,461,20,0,10,15,15,0,147,136,528
2010,20100101100658,29,5100,1,1,4136712.475309000,63,1,100,63,,41,9999,9999,99999.99,0,0,0,110,0,40,0,520,0,0,0,0,725,45,0,0,0
2010,20100101100675,30,3400,1,1,12362528.44901100,74,2,100,74,,30,9999,9999,99999.99,0,70,0,30,0,75,0,630,25,45,30,0,430,15,90,0,0
2010,20100101100681,31,500,1,1,1416723.770243000,63,1,100,63,,43,9999,9999,99999.99,0,0,0,140,0,55,0,450,0,0,0,0,180,0,20,0,595
2010,20100101100682,32,4200,1,1,4931692.630364000,69,1,100,69,,21,9999,9999,99999.99,0,0,0,35,0,0,0,570,0,0,0,0,775,0,60,0,0
2010,20100101100697,33,600,1,1,2725301.337058000,63,2,100,63,,30,9999,9999,99999.99,0,0,0,55,0,75,0,637,0,0,1,90,563,0,19,0,0
2010,20100101100712,34,600,1,1,2040688.385079000,41,2,100,40,,13,133,160,268.95,15,0,0,30,0,60,0,705,0,0,0,0,630,0,0,0,0
2010,20100101100716,35,600,1,1,4451905.131061000,17,1,100,17,,16,9999,9999,99999.99,0,0,0,60,0,0,0,695,0,0,20,0,330,240,95,0,0
2010,20100101100718,36,100,1,1,522466.2637200000,72,2,110,72,,31,9999,9999,99999.99,0,0,0,43,0,22,0,210,0,0,0,0,1165,0,0,0,0
2010,20100101100746,37,1700,1,1,12003073.42983300,76,1,100,76,,30,133,240,99999.99,0,0,0,60,0,60,0,600,0,0,0,0,490,190,40,0,0
2010,20100101100754,38,2901,1,1,6276472.827954000,23,2,100,23,,30,130,250,400.5,120,0,0,75,0,0,0,638,0,0,0,0,97,0,30,0,480
2010,20100101100756,39,4800,1,1,13184697.06204700,73,2,100,73,,30,9999,9999,99999.99,0,0,0,75,0,160,0,640,30,0,0,0,455,0,20,0,0
2010,20100101100768,40,1201,1,1,3379272.250001000,16,1,100,16,,14,9999,9999,99999.99,0,0,0,20,0,130,0,595,0,0,0,90,510,5,90,0,0
2010,20100101100777,41,600,1,1,2371587.598670000,36,1,100,36,,30,134,260,480.0,0,0,0,15,0,0,0,488,0,0,5,0,400,0,67,0,465
2010,20100101100790,42,4200,1,1,3317551.143911000,62,2,100,62,,41,9999,9999,99999.99,0,0,0,60,0,25,0,525,35,0,0,0,505,0,100,190,0
2010,20100101100820,43,4101,1,1,2535766.114056000,26,2,100,25,,30,140,160,99999.99,212,30,0,65,0,10,0,569,0,20,90,0,60,0,213,0,171
2010,20100101100825,44,2200,1,1,905267.2985680000,48,2,110,48,,30,9999,9999,99999.99,0,0,0,0,0,0,0,839,0,0,0,0,599,0,2,0,0
2010,20100101100837,45,3900,1,1,4442719.139239000,48,2,100,48,,21,9999,9999,99999.99,60,0,0,30,0,276,0,675,30,0,20,0,225,0,51,73,0
2010,20100101100850,46,2500,1,1,2940299.496871000,42,1,100,42,,21,9999,9999,99999.99,0,0,0,30,0,0,0,550,0,0,0,10,736,0,34,0,0
2010,20100101100856,47,4800,1,1,5640601.509806000,49,2,100,49,,40,125,240,769.23,0,0,236,20,0,10,0,405,50,0,10,0,30,45,49,0,585
2010,20100101100858,48,400,1,1,16210752.56409700,66,2,100,66,,21,131,300,99999.99,0,0,0,20,0,15,0,420,0,0,60,0,625,240,60,0,0
2010,20100101100876,49,4200,1,1,13896893.56490400,35,2,100,35,,40,111,220,918.92,0,0,0,20,0,20,0,522,0,0,0,0,105,0,16,0,757
2010,20100101100877,50,1200,1,1,7571677.070695000,54,1,100,54,,40,111,220,99999.99,0,0,0,50,0,105,0,560,0,0,10,0,323,0,17,0,375
2010,20100101100885,51,1202,1,1,4316269.605975000,53,1,100,53,,21,160,100,320.0,0,270,0,45,0,115,0,770,0,0,0,0,240,0,0,0,0
2010,20100101100890,52,600,1,1,3340561.054918000,37,1,131,37,,21,120,143,1846.15,155,0,0,55,0,10,0,500,0,0,5,0,250,230,205,0,0
